iter	MultiClass
0	1.435645822
1	1.310420257
2	1.218136153
3	1.145551826
4	1.090122152
5	1.045666847
6	1.004282876
7	0.9683216235
8	0.9389425684
9	0.9128465158
10	0.8900852217
11	0.8709794765
12	0.8526251048
13	0.8370673453
14	0.8209354832
15	0.807073824
16	0.7942726517
17	0.7841532021
18	0.7747276895
19	0.767343583
20	0.7583881607
21	0.75130223
22	0.7447227009
23	0.7393617399
24	0.733029523
25	0.7284227711
26	0.7229812655
27	0.7173516736
28	0.7131996054
29	0.7089868391
30	0.7052824061
31	0.7028915414
32	0.699969458
33	0.6975634891
34	0.6941163049
35	0.6914625735
36	0.6897224256
37	0.6882854043
38	0.6865610189
39	0.6841852938
40	0.6836781861
41	0.6805103039
42	0.6797369972
43	0.6791311641
44	0.6775084545
45	0.6760792892
46	0.6745242995
47	0.6729137839
48	0.6717171847
49	0.6706473182
50	0.669675714
51	0.6685824234
52	0.66799003
53	0.6674266935
54	0.6659350014
55	0.6652102009
56	0.6641866664
57	0.6627178272
58	0.6618635709
59	0.661239103
60	0.6605704701
61	0.6594274136
62	0.658279287
63	0.6577422632
64	0.6569669222
65	0.6559853228
66	0.6554878961
67	0.654890267
68	0.6547791464
69	0.6544567137
70	0.6535417718
71	0.653223067
72	0.6524079688
73	0.6522115052
74	0.6517464134
75	0.6516454427
76	0.6513539835
77	0.6510059227
78	0.6504465761
79	0.6497144087
80	0.6494818822
81	0.6494212476
82	0.6487633933
83	0.6486620616
84	0.6478669308
85	0.647847124
86	0.6470991499
87	0.64642817
88	0.6454977952
89	0.6451512011
90	0.6450050859
91	0.6447712508
92	0.6440004938
93	0.643456292
94	0.6428711222
95	0.6426951829
96	0.6424951923
97	0.6419967745
98	0.6416403664
99	0.6406337186
100	0.6402494019
101	0.6400277214
102	0.6398899377
103	0.6389730736
104	0.6384300795
105	0.63759821
106	0.6375209073
107	0.6374837415
108	0.6367171004
109	0.6361488637
110	0.6354834308
111	0.6348158279
112	0.6334308796
113	0.6332839227
114	0.6328690815
115	0.6325692773
116	0.6316337245
117	0.6309388147
118	0.6301104031
119	0.6297820889
120	0.6293952789
121	0.6293666577
122	0.629262446
123	0.6289621434
124	0.6286981026
125	0.6283610154
126	0.627534228
127	0.6270303118
128	0.6265576814
129	0.6264162281
130	0.6260393865
131	0.6258789534
132	0.6257861672
133	0.6252678825
134	0.6246571588
135	0.6241478712
136	0.6240388422
137	0.6235977913
138	0.623138075
139	0.6228913911
140	0.6227670862
141	0.6222479466
142	0.6219428703
143	0.6215731452
144	0.6213829937
145	0.6209484931
146	0.6204980788
147	0.6199629187
148	0.6195509652
149	0.6192817741
150	0.6191162814
151	0.6189041976
152	0.6184952245
153	0.6179187928
154	0.6177410679
155	0.617630126
156	0.617436382
157	0.6169253929
158	0.6167349673
159	0.616153268
160	0.6158262728
161	0.615756234
162	0.6154954819
163	0.6151749559
164	0.6148165722
165	0.6143840999
166	0.614162797
167	0.6139738475
168	0.6136513176
169	0.6132334585
170	0.6130483259
171	0.6127732328
172	0.61250176
173	0.6119494784
174	0.611863634
175	0.6116995266
176	0.6114870864
177	0.6112508821
178	0.611204503
179	0.6108516285
180	0.6106478486
181	0.6103034549
182	0.6098762851
183	0.6093722917
184	0.6092127888
185	0.6090375303
186	0.6085915447
187	0.6085237806
188	0.6081250341
189	0.6078338892
190	0.6074959358
191	0.6072524437
192	0.6071459853
193	0.6070775212
194	0.6070531992
195	0.6069439625
196	0.6068774427
197	0.6066400387
198	0.6064859031
199	0.6061132315
200	0.6054827446
201	0.6050600242
202	0.6046646548
203	0.6045955706
204	0.6044367606
205	0.6041130365
206	0.6036971409
207	0.6035943407
208	0.6035835378
209	0.6035233412
210	0.6033857906
211	0.6033559981
212	0.6033389795
213	0.6032376681
214	0.6026924558
215	0.6020193137
216	0.6019109295
217	0.6018809932
218	0.6017429137
219	0.6016142576
220	0.6014457187
221	0.601293832
222	0.6011054496
223	0.601042068
224	0.6006756465
225	0.6004114596
226	0.6000793292
227	0.5996433089
228	0.5993968018
229	0.5993437466
230	0.5992403433
231	0.5990932648
232	0.5988649534
233	0.5987714243
234	0.5987412126
235	0.5985728495
236	0.5985163872
237	0.5982007028
238	0.5977839239
239	0.5972347378
240	0.5970035409
241	0.5966008391
242	0.5964735185
243	0.596345727
244	0.596207452
245	0.5961296248
246	0.5959632547
247	0.595703386
248	0.5955301255
249	0.5953672802
250	0.5951471823
251	0.5950015409
252	0.5949845705
253	0.5948457688
254	0.5945493896
255	0.5943664083
256	0.5942352202
257	0.5938340816
258	0.5938176887
259	0.5935534524
260	0.5934412235
261	0.5930205303
262	0.5926638546
263	0.5924427239
264	0.5923154202
265	0.5921542144
266	0.592131905
267	0.5920511326
268	0.5918505949
269	0.5916264696
270	0.5914147897
271	0.591314839
272	0.5911780058
273	0.591005637
274	0.5908819283
275	0.5905128392
276	0.5903642388
277	0.5903285636
278	0.5901494048
279	0.5900843131
280	0.590031694
281	0.5898937926
282	0.5897904391
283	0.5895725939
284	0.5895548648
285	0.5892397579
286	0.5892158066
287	0.5889374619
288	0.5888264066
289	0.5884874337
290	0.5882098446
291	0.5881790883
292	0.5879521544
293	0.5878915948
294	0.5876643222
295	0.5875251999
296	0.5874910456
297	0.5873845799
298	0.5871298998
299	0.5870927082
300	0.5869190782
301	0.5863423954
302	0.5861020272
303	0.5858467007
304	0.585813427
305	0.585717243
306	0.5856635298
307	0.58549681
308	0.5853698218
309	0.5853149953
310	0.5851690244
311	0.5851383609
312	0.5849782749
313	0.5849488933
314	0.5849181034
315	0.5847654886
316	0.5845476243
317	0.5844809685
318	0.5843775212
319	0.5840756906
320	0.5837746623
321	0.5837498641
322	0.58358106
323	0.58341875
324	0.5833648968
325	0.5833116145
326	0.5829912941
327	0.5828601767
328	0.5826495341
329	0.5823273617
330	0.5820891119
331	0.5820380369
332	0.5819742594
333	0.5818248236
334	0.5814129857
335	0.5812917906
336	0.5809216658
337	0.5806912071
338	0.580477719
339	0.5802500297
340	0.5798046404
341	0.5795449536
342	0.5791441453
343	0.5788675168
344	0.5787571631
345	0.578695981
346	0.5786784235
347	0.5786508808
348	0.5786410274
349	0.5785429667
350	0.5784282312
351	0.5784010017
352	0.5783813256
353	0.5783027704
354	0.5782928813
355	0.5782784811
356	0.5782620239
357	0.5781736409
358	0.578122938
359	0.5778830611
360	0.5776283403
361	0.5775451905
362	0.577406209
363	0.5772011891
364	0.5771650157
365	0.5771409056
366	0.5769890972
367	0.5769033076
368	0.5767023655
369	0.5766144929
370	0.5765628808
371	0.5761178069
372	0.5760954999
373	0.5757458146
374	0.5755761746
375	0.5754879835
376	0.5752020878
377	0.5751886078
378	0.5751601983
379	0.5749846545
380	0.5748569351
381	0.5746626347
382	0.5746257835
383	0.5744516978
384	0.5743974649
385	0.5743568463
386	0.5743389116
387	0.5743139666
388	0.5739774663
389	0.5738786672
390	0.5736954753
391	0.5734497194
392	0.5730241621
393	0.5727386871
394	0.5725915965
395	0.5725146734
396	0.5725059501
397	0.5724592641
398	0.5723374169
399	0.5720474163
400	0.5719368694
401	0.5718810865
402	0.5718436227
403	0.571817124
404	0.5717472697
405	0.5715224851
406	0.5714406254
407	0.5714198292
408	0.571395089
409	0.5712786778
410	0.5711189189
411	0.571107217
412	0.5710950194
413	0.5710129629
414	0.5708690841
415	0.5708428981
416	0.57083589
417	0.5706650083
418	0.5705639429
419	0.570453433
420	0.5704138838
421	0.5703667479
422	0.5703544692
423	0.5702765769
424	0.5702226658
425	0.5696688444
426	0.5696118277
427	0.5695942461
428	0.5693621477
429	0.5693451849
430	0.5691636689
431	0.5691288912
432	0.5688960147
433	0.5687095408
434	0.5686508202
435	0.5685124211
436	0.5684475092
437	0.568402613
438	0.5682198439
439	0.5680614269
440	0.5678289895
441	0.5676384172
442	0.5675684719
443	0.5673573989
444	0.567344092
445	0.5673160706
446	0.5672111112
447	0.5672023982
448	0.5671571606
449	0.5668418747
450	0.5668147747
451	0.5667568488
452	0.5667347523
453	0.5666974948
454	0.5666555889
455	0.5664411622
456	0.5664049767
457	0.5662879211
458	0.5662788235
459	0.5661609456
460	0.5661510186
461	0.5660891047
462	0.5658747277
463	0.5658205962
464	0.5657220217
465	0.5654976811
466	0.5654549795
467	0.565376203
468	0.5652067049
469	0.5650744383
470	0.5650552427
471	0.5649762761
472	0.5649056021
473	0.5648980536
474	0.5648273754
475	0.5646101327
476	0.564599921
477	0.5645852227
478	0.5644071594
479	0.5643011971
480	0.5641946558
481	0.5637832783
482	0.5636767191
483	0.56352405
484	0.5635001752
485	0.5633712089
486	0.5632028963
487	0.5631607955
488	0.5631238622
489	0.5628973846
490	0.5627930786
491	0.5627395101
492	0.562717464
493	0.5626447725
494	0.5626076345
495	0.5625496183
496	0.5623965313
497	0.5623281965
498	0.5622273692
499	0.5619916692
500	0.5618737397
501	0.561806616
502	0.5617006487
503	0.561368913
504	0.5613323577
505	0.5613218399
506	0.5612817344
507	0.5610851123
508	0.5610570331
509	0.5610417507
510	0.5609740648
511	0.5609225962
512	0.5609073057
513	0.560869379
514	0.560708741
515	0.5603139808
516	0.5600358803
517	0.56000985
518	0.559837942
519	0.5598093266
520	0.5597457673
521	0.5596030939
522	0.559324007
523	0.559240593
524	0.5592064413
525	0.559006291
526	0.558473355
527	0.5581532272
528	0.5581025384
529	0.5580894542
530	0.5579862258
531	0.5579344168
532	0.5579172169
533	0.5578788765
534	0.5575671875
535	0.5572441512
536	0.5571395769
537	0.5569867188
538	0.5569569291
539	0.5567925392
540	0.5565759704
541	0.5565389123
542	0.5564012762
543	0.556271047
544	0.5562312249
545	0.5561637646
546	0.5557953233
547	0.5556830985
548	0.5555391423
549	0.5554805657
550	0.555448749
551	0.5554414534
552	0.5554111524
553	0.5553503653
554	0.555195725
555	0.5550313623
556	0.554919206
557	0.5548254599
558	0.5547021577
559	0.554553142
560	0.5543522871
561	0.55427278
562	0.5542042224
563	0.5541148252
564	0.5541011885
565	0.5540852791
566	0.5540135249
567	0.5537671166
568	0.5536402552
569	0.5535788168
570	0.5535716813
571	0.553488786
572	0.5533418987
573	0.5531648405
574	0.5530234082
575	0.5526888589
576	0.5524825628
577	0.5524671179
578	0.5524375395
579	0.5523379315
580	0.5522936295
581	0.5522852083
582	0.5519350183
583	0.5518991137
584	0.5518641016
585	0.5518236551
586	0.5516558874
587	0.5513120397
588	0.5510503378
589	0.5507532603
590	0.5506926411
591	0.5504711542
592	0.5502652877
593	0.5501492364
594	0.549908432
595	0.5499009364
596	0.5495909551
597	0.5494935749
598	0.5493727023
599	0.5491825049
600	0.5489207595
601	0.5488108612
602	0.5486924413
603	0.5485294671
604	0.5485041601
605	0.5484936008
606	0.5484426074
607	0.5482650742
608	0.5482579466
609	0.5482333026
610	0.5482094237
611	0.5481962387
612	0.5481403283
613	0.5481112417
614	0.5479681969
615	0.5479587194
616	0.5478625275
617	0.5477428859
618	0.5474089595
619	0.5472662077
620	0.5471528154
621	0.5471277692
622	0.5469197018
623	0.5468767011
624	0.5468524694
625	0.5467860814
626	0.5467741862
627	0.5467436225
628	0.5466493474
629	0.5465048517
630	0.5463253591
631	0.5460632986
632	0.5459289318
633	0.5458629508
634	0.5457451722
635	0.5455552831
636	0.5455119647
637	0.5453831048
638	0.545368701
639	0.5453629572
640	0.5453265516
641	0.5450404559
