iter	Passed	Remaining
0	74	74473
1	101	50858
2	118	39286
3	136	33963
4	153	30478
5	169	28151
6	191	27147
7	211	26179
8	232	25596
9	292	28966
10	322	29009
11	343	28306
12	363	27613
13	381	26894
14	406	26678
15	426	26203
16	448	25958
17	475	25936
18	494	25508
19	514	25186
20	538	25120
21	556	24718
22	576	24501
23	596	24259
24	614	23967
25	633	23720
26	653	23563
27	674	23420
28	694	23253
29	716	23173
30	740	23139
31	760	22996
32	782	22923
33	799	22711
34	818	22557
35	836	22395
36	855	22278
37	871	22061
38	888	21887
39	906	21765
40	922	21571
41	939	21418
42	953	21230
43	968	21038
44	988	20968
45	1005	20850
46	1021	20718
47	1039	20615
48	1063	20639
49	1081	20557
50	1099	20468
51	1115	20344
52	1130	20206
53	1146	20086
54	1165	20027
55	1184	19962
56	1204	19927
57	1224	19886
58	1241	19794
59	1258	19717
60	1275	19626
61	1290	19523
62	1307	19439
63	1322	19335
64	1337	19237
65	1354	19161
66	1370	19080
67	1387	19010
68	1405	18965
69	1429	18992
70	1457	19071
71	1481	19088
72	1501	19072
73	1524	19074
74	1541	19010
75	1557	18932
76	1574	18877
77	1592	18826
78	1609	18766
79	1627	18720
80	1647	18688
81	1663	18627
82	1686	18631
83	1707	18618
84	1724	18558
85	1739	18487
86	1759	18468
87	1780	18451
88	1798	18409
89	1817	18377
90	1832	18304
91	1846	18226
92	1864	18179
93	1882	18146
94	1903	18131
95	1927	18148
96	1945	18110
97	1963	18074
98	1978	18008
99	1996	17966
100	2012	17911
101	2026	17841
102	2042	17788
103	2060	17750
104	2075	17692
105	2094	17661
106	2108	17598
107	2122	17530
108	2138	17483
109	2155	17443
110	2173	17410
111	2190	17367
112	2209	17345
113	2226	17304
114	2242	17257
115	2260	17225
116	2280	17213
117	2301	17204
118	2322	17193
119	2340	17163
120	2359	17138
121	2375	17098
122	2390	17047
123	2408	17016
124	2425	16975
125	2441	16937
126	2460	16916
127	2477	16875
128	2494	16842
129	2509	16796
130	2526	16759
131	2541	16713
132	2557	16669
133	2574	16636
134	2591	16606
135	2608	16570
136	2622	16519
137	2639	16489
138	2657	16464
139	2675	16434
140	2691	16399
141	2712	16392
142	2731	16369
143	2752	16361
144	2771	16342
145	2791	16327
146	2808	16297
147	2825	16267
148	2842	16235
149	2860	16207
150	2876	16174
151	2893	16143
152	2908	16102
153	2924	16067
154	2942	16040
155	2956	15994
156	2972	15958
157	2991	15940
158	3007	15907
159	3035	15936
160	3056	15926
161	3071	15888
162	3090	15867
163	3108	15843
164	3127	15828
165	3146	15806
166	3162	15776
167	3179	15746
168	3199	15731
169	3218	15715
170	3237	15694
171	3258	15686
172	3280	15683
173	3303	15681
174	3322	15663
175	3343	15655
176	3363	15637
177	3381	15617
178	3398	15585
179	3414	15555
180	3431	15526
181	3448	15499
182	3468	15485
183	3487	15468
184	3506	15445
185	3524	15423
186	3544	15411
187	3560	15379
188	3580	15362
189	3595	15329
190	3615	15312
191	3632	15285
192	3646	15247
193	3663	15221
194	3680	15195
195	3699	15175
196	3718	15155
197	3735	15129
198	3752	15104
199	3769	15079
200	3789	15065
201	3807	15042
202	3824	15013
203	3838	14978
204	3853	14945
205	3869	14913
206	3886	14888
207	3902	14861
208	3917	14826
209	3932	14795
210	3949	14768
211	3965	14738
212	3981	14709
213	3996	14678
214	4014	14658
215	4032	14638
216	4048	14609
217	4065	14583
218	4083	14561
219	4099	14533
220	4114	14504
221	4132	14481
222	4148	14454
223	4164	14426
224	4182	14406
225	4200	14384
226	4219	14366
227	4236	14345
228	4254	14324
229	4270	14295
230	4286	14269
231	4305	14253
232	4323	14233
233	4342	14214
234	4356	14181
235	4373	14158
236	4389	14132
237	4410	14122
238	4429	14104
239	4450	14093
240	4469	14075
241	4490	14065
242	4508	14044
243	4525	14021
244	4542	13998
245	4561	13980
246	4578	13957
247	4598	13945
248	4619	13933
249	4642	13926
250	4659	13905
